CountyCode,Precinct,Castle / Bradley+Sum(CanVotes),Clinton / Kaine+Sum(CanVotes),De La Fuente / Steinberg+Sum(CanVotes),Johnson / Weld+Sum(CanVotes),OverVotes+Sum(CanVotes),Stein / Baraka+Sum(CanVotes),Trump / Pence+Sum(CanVotes),UnderVotes+Sum(CanVotes),WriteinVotes+Sum(CanVotes),WriteInVotes+Sum(CanVotes),CardsCast,VotesCast,Clinton%,Rep%
ALA,1,2,357,0,28,0,5,637,5,9,,1043,1038,0.3439,0.6137
ALA,2,2,668,0,29,2,18,839,17,17,,1592,1573,0.4247,0.5334
ALA,3,5,1114,2,105,3,34,1711,17,26,,3017,2997,0.3717,0.5709
ALA,4,7,687,1,75,2,11,1483,18,21,,2305,2285,0.3007,0.6490
ALA,5,2,1409,1,101,0,29,544,6,23,,2115,2109,0.6681,0.2579
ALA,6,12,762,2,65,3,13,1263,10,14,,2144,2131,0.3576,0.5927
ALA,7,1,1253,2,54,0,50,259,11,26,,1656,1645,0.7617,0.1574
ALA,8,2,636,1,39,1,10,768,8,8,,1473,1464,0.4344,0.5246
ALA,9,0,117,0,11,0,2,279,4,2,,415,411,0.2847,0.6788
ALA,10,1,623,0,35,1,13,551,6,8,,1238,1231,0.5061,0.4476
ALA,11,5,1044,2,50,2,13,964,8,22,,2110,2100,0.4971,0.4590
ALA,12,7,1292,1,49,1,47,335,7,19,,1758,1750,0.7383,0.1914
ALA,13,3,1472,0,4,2,10,58,6,13,,1568,1560,0.9436,0.0372
ALA,14,4,281,0,22,2,8,579,7,4,,907,898,0.3129,0.6448
ALA,15,1,263,0,22,2,3,371,3,7,,672,667,0.3943,0.5562
ALA,16,5,819,0,56,1,14,899,15,33,,1842,1826,0.4485,0.4923
ALA,17,3,1390,1,80,0,39,609,16,37,,2175,2159,0.6438,0.2821
ALA,18,1,1163,0,71,0,10,811,16,35,,2107,2091,0.5562,0.3879
ALA,19,2,1038,0,25,1,25,100,8,16,,1215,1206,0.8607,0.0829
ALA,20,3,913,4,64,3,23,1500,13,29,,2552,2536,0.3600,0.5915
ALA,21,9,1235,2,77,0,33,837,11,41,,2245,2234,0.5528,0.3747
ALA,22,8,1415,2,82,3,28,894,25,28,,2485,2457,0.5759,0.3639
ALA,23,3,872,1,39,0,21,306,10,20,,1272,1262,0.6910,0.2425
ALA,24,2,1107,0,67,2,22,472,14,29,,1715,1699,0.6516,0.2778
ALA,25,1,1320,1,69,4,34,269,5,22,,1725,1716,0.7692,0.1568
ALA,26,1,935,1,44,0,17,319,11,26,,1354,1343,0.6962,0.2375
ALA,27,7,2110,0,74,2,45,331,17,22,,2608,2589,0.8150,0.1278
ALA,28,0,1829,1,17,11,16,159,10,12,,2055,2034,0.8992,0.0782
ALA,29,5,1081,1,57,1,11,1024,20,30,,2230,2209,0.4894,0.4636
ALA,30,4,1545,2,22,5,20,288,8,13,,1907,1894,0.8157,0.1521
ALA,31,4,2554,2,156,2,39,943,11,29,,3740,3727,0.6853,0.2530
ALA,32,6,1653,4,122,2,56,691,16,46,,2596,2578,0.6412,0.2680
ALA,33,1,1566,1,30,4,19,230,8,25,,1884,1872,0.8365,0.1229
ALA,34,1,399,0,16,2,7,517,7,10,,959,950,0.4200,0.5442
ALA,35,1,666,0,31,1,9,531,9,13,,1261,1251,0.5324,0.4245
ALA,36,3,1577,3,99,1,42,525,5,24,,2279,2273,0.6938,0.2310
ALA,37,2,1005,0,49,0,19,682,15,16,,1788,1773,0.5668,0.3847
ALA,38,10,1540,0,88,2,26,849,10,42,,2567,2555,0.6027,0.3323
ALA,39,4,1484,3,70,0,34,459,3,29,,2086,2083,0.7124,0.2204
ALA,40,4,1009,0,60,2,16,687,17,27,,1822,1803,0.5596,0.3810
ALA,41,4,868,1,65,2,10,1017,12,29,,2008,1994,0.4353,0.5100
ALA,42,4,1187,1,80,0,8,983,13,36,,2312,2299,0.5163,0.4276
ALA,43,4,1400,4,74,3,27,705,11,14,,2242,2228,0.6284,0.3164
ALA,44,11,3176,2,177,1,49,762,26,55,,4259,4232,0.7505,0.1801
ALA,45,5,2392,2,144,3,41,1748,30,44,,4409,4376,0.5466,0.3995
ALA,46,6,1448,4,76,2,20,1346,19,49,,2970,2949,0.4910,0.4564
ALA,47,5,1364,1,77,1,10,1227,16,32,,2733,2716,0.5022,0.4518
ALA,48,5,1131,1,80,1,43,658,5,28,,1952,1946,0.5812,0.3381
ALA,49,5,779,1,47,1,10,1038,13,19,,1913,1899,0.4102,0.5466
ALA,50,5,969,1,50,0,21,456,22,16,,1540,1518,0.6383,0.3004
ALA,51,9,1414,1,74,1,23,958,17,25,,2522,2504,0.5647,0.3826
ALA,52,2,1002,0,38,4,22,313,11,18,,1410,1395,0.7183,0.2244
ALA,53,10,1085,4,27,2,35,956,21,15,,2155,2132,0.5089,0.4484
ALA,54,6,1775,4,104,0,47,562,16,35,,2549,2533,0.7008,0.2219
ALA,55,1,704,1,16,3,12,126,7,6,,876,866,0.8129,0.1455
ALA,56,1,1121,0,86,0,19,942,15,28,,2212,2197,0.5102,0.4288
ALA,57,6,1282,3,69,1,38,658,14,28,,2099,2084,0.6152,0.3157
ALA,58,9,1900,3,134,4,29,1447,17,43,,3586,3565,0.5330,0.4059
ALA,59,6,2899,4,176,1,75,1198,9,47,,4415,4405,0.6581,0.2720
ALA,60,5,618,2,58,0,16,1827,13,29,,2568,2555,0.2419,0.7151
ALA,61,1,1145,3,44,0,19,607,8,19,,1846,1838,0.6230,0.3303
ALA,62,3,1159,0,59,1,25,594,13,27,,1881,1867,0.6208,0.3182
ALA,63,5,799,3,50,2,17,1133,15,16,,2040,2023,0.3950,0.5601
BAK,1A,2,727,0,24,1,3,1277,13,5,,2052,2038,0.3567,0.6266
BAK,2A,6,498,0,38,3,10,1903,9,15,,2482,2470,0.2016,0.7704
